Metabolite_name,RefMet_name,refmet_name,super_class,main_class,sub_class,formula,exactmass,inchi_key,smiles,pubchem_cid
10-Heptadecenoic acid_ (Z)-_ TMS derivative,10Z-Heptadecenoic acid,10Z-Heptadecenoic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C17H32O2,268.24023,GDTXICBNEOEPAZ-FPLPWBNLSA-N,CCCCCC/C=C\CCCCCCCCC(=O)O,5312435.0
1_1^-Biphenyl_ 4_4^-dinitro-,,,,,,,,,,
11-Methyldodecanol,,,,,,,,,,
1_2_5-Thiadiazolo[3_4-c]coumarine_ 8-nitro-,,,,,,,,,,
1_2-Benzenedicarboxylic acid_ bis(2-methylpropyl) ester,,,,,,,,,,
1_2-Dipalmitin_ TMS derivative,,,,,,,,,,
13.beta.-Ethyl-3-oximinogon-4-en-17-one 3-TMS,,,,,,,,,,
1_3-Dipalmitin_ TMS derivative,,,,,,,,,,
13-Docosenoic acid_ methyl ester_ (Z)-,,,,,,,,,,
1-(3-Methylbutyl)-2_3_4_6-tetramethylbenzene,,,,,,,,,,
1_5-anhydro-D-sorbitol,"1,5-Anhydrosorbitol","1,5-Anhydrosorbitol",Carbohydrates,Monosaccharides,Hexoses,C6H12O5,164.068475,MPCAJMNYNOGXPB-SLPGGIOYSA-N,OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O,64960.0
17-Methoxy-d-homo-18-norandrosta-4_8_13_15_17-pentaen-3-one,,,,,,,,,,
18-Methyl-nonadecane-1_2-diol_ isopropylidene derivative,,,,,,,,,,
1-Chloromethyl-1-hexadecyloxy-1-silacyclohexane,,,,,,,,,,
1-Decanol_ 2-hexyl-,1-Decanol,1-Decanol,Fatty Acyls,Fatty alcohols,Fatty alcohols,C10H22O,158.167065,MWKFXSUHUHTGQN-UHFFFAOYSA-N,CCCCCCCCCCO,8174.0
1-Dodecanol_ 2-hexyl-,,,,,,,,,,
1-Dodecanol_ TMS derivative,Dodecanol,Dodecanol,Fatty Acyls,Fatty alcohols,Fatty alcohols,C12H26O,186.198365,LQZZUXJYWNFBMV-UHFFFAOYSA-N,CCCCCCCCCCCCO,8193.0
1-Ethyl-1-tridecyloxy-1-silacyclohexane,,,,,,,,,,
1-Heptanol_ TMS derivative,n-Heptanol,n-Heptanol,Fatty Acyls,Fatty alcohols,Fatty alcohols,C7H16O,116.120115,BBMCTIGTTCKYKF-UHFFFAOYSA-N,CCCCCCCO,8129.0
1-hexadecanol,Cetyl alcohol,Cetyl alcohol,Fatty Acyls,Fatty alcohols,Fatty alcohols,C16H34O,242.260965,BXWNKGSJHAJOGX-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCO,2682.0
1-Hexadecanol_ TBDMS derivative,Cetyl alcohol,Cetyl alcohol,Fatty Acyls,Fatty alcohols,Fatty alcohols,C16H34O,242.260965,BXWNKGSJHAJOGX-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCO,2682.0
1H-Pyrazole_ 4-nitro-,,,,,,,,,,
1-Hydroxy-3-methoxy-6-methylanthraquinone_ TMS derivative,,,,,,,,,,
1-Monomyristin_ 2TMS derivative,MG 14:0,MG 14:0,Glycerolipids,Monoradylglycerols,MG,C17H34O4,302.24571,,,
1 monoolein,MG 18:1,MG 18:1,Glycerolipids,Monoradylglycerols,MG,C21H40O4,356.29266,,,
1-Monopalmitin_ 2TMS derivative,MG 16:0/0:0/0:0,MG 16:0/0:0/0:0,Glycerolipids,Monoradylglycerols,MG,C19H38O4,330.27701,,,
1-Nonene_ 4_6_8-trimethyl-,1-Nonene,1-Nonene,Fatty Acyls,Hydrocarbons,Hydrocarbons,C9H18,126.14085,JRZJOMJEPLMPRA-UHFFFAOYSA-N,C=CCCCCCCC,31285.0
1-Octadecanol_ TMS derivative,Stearyl alcohol,Stearyl alcohol,Fatty Acyls,Fatty alcohols,Fatty alcohols,C18H38O,270.292265,GLDOVTGHNKAZLK-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCO,8221.0
